"EIN","NAME","address","STREET","CITY","STATE","ZIP","zipshrt","lon","lat"
10810866,"ZOE FOUNDATION FOR INFUSION ART THERAPY","PO BOX 1366, ANNA MARIA, FL, 34216-1366","PO BOX 1366","ANNA MARIA","FL","34216-1366","34216",-82.7428057,27.539177
201035767,"ELIZABETH AND KEVIN A TATTAM FOUNDATION INC","PO BOX 1342, ANNA MARIA, FL, 34216-1342","PO BOX 1342","ANNA MARIA","FL","34216-1342","34216",-82.7428057,27.539177
264580513,"ANNA MARIA ISLAND PRESERVATION TRUST INC","PO BOX 4106, ANNA MARIA, FL, 34216-4106","PO BOX 4106","ANNA MARIA","FL","34216-4106","34216",-82.7428057,27.539177
453528540,"CULTURAL CONNECTIONS","PO BOX 222, ANNA MARIA, FL, 34216-0222","PO BOX 222","ANNA MARIA","FL","34216-0222","34216",-82.7428057,27.539177
591095982,"ROSER MEMORIAL CHURCH OF ANNA MARIA","PO BOX 247, ANNA MARIA, FL, 34216-0247","PO BOX 247","ANNA MARIA","FL","34216-0247","34216",-82.7428057,27.539177
596153340,"SWEET ADELINES INTERNATIONAL","PO BOX 1691, ANNA MARIA, FL, 34216-1691","PO BOX 1691","ANNA MARIA","FL","34216-1691","34216",-82.7428057,27.539177
596166231,"CENTER OF ANNA MARIA ISLAND","407 MAGNOLIA AVE, ANNA MARIA, FL, 34216-0000","407 MAGNOLIA AVE","ANNA MARIA","FL","34216-0000","34216",-82.7326069,27.5283367
650248909,"ANNA MARIA ISLAND HISTORICAL SOCIETY INC","PO BOX 4315, ANNA MARIA, FL, 34216-4315","PO BOX 4315","ANNA MARIA","FL","34216-4315","34216",-82.7428057,27.539177
821378427,"ANNA MARIA ISLAND GARDEN CLUB INC","PO BOX 4131, ANNA MARIA, FL, 34216-4131","PO BOX 4131","ANNA MARIA","FL","34216-4131","34216",-82.7428057,27.539177
854158364,"AMI PUP RESCUE INC","245 WILLOW AVENUE, ANNA MARIA, FL, 34216-0000","245 WILLOW AVENUE","ANNA MARIA","FL","34216-0000","34216",-82.7299726,27.5276289
862638747,"MAC PARKMAN FOUNDATION FOR ADOLESCENT CONCUSSIVE TRAUMA INC","PO BOX 1228, ANNA MARIA, FL, 34216-1228","PO BOX 1228","ANNA MARIA","FL","34216-1228","34216",-82.7428057,27.539177
900254070,"NATIONAL SOCIETY OF SOUTHERN DAMES OF AMERICA","PO BOX 1947, ANNA MARIA, FL, 34216-1947","PO BOX 1947","ANNA MARIA","FL","34216-1947","34216",-82.7428057,27.539177
592478798,"APOLLO BEACH COMMUNITY CHURCH INC","1312 APOLLO BCH BLVD, APOLLO BCH, FL, 33572-3005","1312 APOLLO BCH BLVD","APOLLO BCH","FL","33572-3005","33572",-82.4236411,27.7821944
30503940,"LIFE-TAMPA INC","270 APOLLO BEACH BLVD, APOLLO BEACH, FL, 33572-2261","270 APOLLO BEACH BLVD","APOLLO BEACH","FL","33572-2261","33572",-82.3954825,27.772131
