"DapipId","OpeId","IpedsUnitIds","LocationName","ParentName","ParentDapipId","LocationType","Address","GeneralPhone","AdminName","AdminPhone","AdminEmail","Fax","UpdateDate","zip","zipshrt","lon","lat"
101435043,"32098820","434964","University of Phoenix - West Florida Campus","University of Phoenix","101435","Additional Location","12802 Tampa Oaks Boulevard, #200, Temple Terrace, FL 33637","","","","",NA,"","33637","33637",-82.3556799,28.0630204
101435366,"","","University of Phoenix at St. Petersburg/Clearwater Learning Center","University of Phoenix","101435","Additional Location","1901 Ulmerton Road, Clearwater, FL 33762-3311","","","","",NA,"2/1/2013 0:00","33762-3311","33762",-82.6588418,27.8947357
101435377,"","","University of Phoenix at Westshore Learning Center - Tampa","University of Phoenix","101435","Additional Location","4805 W. Independence Parkway, Tampa, FL 33634-7527","","","","",NA,"","33634-7527","33634",-82.5472817,27.9778052
108843004,"","","National Intelligence University at U.S. Central Command","National Intelligence University","108843","Additional Location","7115 South Boundary Blvd., MacDill AFB, FL 33621-5101","","","","",NA,"","33621-5101","33621",-82.5089634,27.8498222
108968098,"145942","449038","Strayer University - Tampa Westshore Campus","Strayer University","108968","Additional Location","4902 Eisenhower Boulevard, Suite 100, Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5468202,27.9901772
108968099,"","","Strayer University - Tampa East Campus","Strayer University","108968","Additional Location","5650 Breckenridge Park Drive, Suite 300, Tampa, FL 33610","","","","",NA,"","33610","33610",-82.35998,27.997382
108968128,"","","Strayer University at Verizon Wireless, Tampa","Strayer University","108968","Additional Location","6550 W. Hillsborough Ave., Tampa, FL 33634","","","","",NA,"","33634","33634",-82.5533333,27.994379
109059012,"","","USF St. Petersburg","Barry University","109059","Additional Location","University Center 9200 113 Street N, Seminole, FL 33772","","","","",NA,"","33772","33772",-82.7986615,27.8579032
109095003,"","","GUTI The Premier Beauty and Wellness Academy","GUTI, The Premier Beauty and Wellness Academy - Bradenton","109095","Additional Location","1026 East Brandon Boulevard, Brandon, FL 33511","","","","",NA,"","33511","33511",-82.268013,27.938802
109208,"147300","133085","Clearwater Christian College","-","-","Institution","3400 Gulf to Bay Blvd, Clearwater, FL 33759-4595","7277261153, ext. 225","RICHARD A. STRATTON","7277261153, ext. 228","dickstratton@clearwater.edu",7277268597,"","33759-4595","33759",-82.6976472,27.9642297
109253,"148700","133492","Eckerd College","-","-","Institution","4200 54th Avenue South, Saint Petersburg, FL 33711-4700","7278671166","Donald R. Eastman III","","",NA,"","33711-4700","33711",-82.6864615,27.7147288
109350,"148200","133809","Florida College","-","-","Institution","119 N Glen Arven Ave, Temple Terrace, FL 33617-5578","8139885131","Harry E. Payne","8139885131","president@floridacollege.edu",8138996772,"5/1/2014 0:00","33617-5578","33617",-82.3835582,28.0333985
